No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|1er lot|Nombre de lots|Code type local|Type local|Surface reelle bati|Nombre pieces principales|year
1|07/01/2022|Vente|177000,00|120.0|AV|0512|MAL DE LATTRE DE TASSIGNY|33470.0|GUJAN MESTRAS|33|199||BW|385|15.0|3|2.0|Appartement|42.0|2.0|2022
1|07/01/2022|Vente|177000,00|120.0|AV|0512|MAL DE LATTRE DE TASSIGNY|33470.0|GUJAN MESTRAS|33|199||BW|385|15.0|3|3.0|Dépendance|0.0|0.0|2022
1|07/01/2022|Vente|177000,00|120.0|AV|0512|MAL DE LATTRE DE TASSIGNY|33470.0|GUJAN MESTRAS|33|199||BW|385|15.0|3|3.0|Dépendance|0.0|0.0|2022
1|06/01/2022|Vente|320000,00|5.0|LOT|A008|CHANTE CIGALE|33470.0|GUJAN MESTRAS|33|199||CT|359||0|||||2022
1|06/01/2022|Vente|320000,00|5.0|ALL|0112|DE CAMPES|33470.0|GUJAN MESTRAS|33|199||CT|360||0|1.0|Maison|68.0|3.0|2022
1|06/01/2022|Vente|320000,00|5.0|ALL|0112|DE CAMPES|33470.0|GUJAN MESTRAS|33|199||CT|360||0|3.0|Dépendance|0.0|0.0|2022
1|06/01/2022|Vente|234820,00|43.0|RUE|0220|DU DOCTEUR BEZIAN|33470.0|GUJAN MESTRAS|33|199||CB|512|4.0|1|2.0|Appartement|63.0|3.0|2022
1|03/01/2022|Vente|178000,00|51.0|RUE|0242|EDMOND DAUBRIC|33470.0|GUJAN MESTRAS|33|199||BN|526||0|||||2022
1|07/01/2022|Vente|340000,00|10.0|RUE|0030|ARMAND DANEY|33470.0|GUJAN MESTRAS|33|199||BO|427||0|1.0|Maison|73.0|3.0|2022
1|07/01/2022|Vente|340000,00|10.0|RUE|0030|ARMAND DANEY|33470.0|GUJAN MESTRAS|33|199||BO|428||0|||||2022
1|11/01/2022|Vente|284000,00|5.0|ALL|0360|DES GENETS|33470.0|GUJAN MESTRAS|33|199||BT|494||0|1.0|Maison|63.0|2.0|2022
1|10/01/2022|Vente|370000,00|64.0|ALL|0705|DES PLACES|33470.0|GUJAN MESTRAS|33|199||BX|312||0|3.0|Dépendance|0.0|0.0|2022
1|10/01/2022|Vente|370000,00|64.0|ALL|0705|DES PLACES|33470.0|GUJAN MESTRAS|33|199||BX|312||0|1.0|Maison|82.0|4.0|2022
1|06/01/2022|Vente|610000,00|15.0|IMP|0133|DE CAPAYAN|33470.0|GUJAN MESTRAS|33|199||CV|110||0|3.0|Dépendance|0.0|0.0|2022
1|06/01/2022|Vente|610000,00|15.0|IMP|0133|DE CAPAYAN|33470.0|GUJAN MESTRAS|33|199||CV|110||0|1.0|Maison|133.0|6.0|2022
1|06/01/2022|Vente|610000,00|15.0|IMP|0133|DE CAPAYAN|33470.0|GUJAN MESTRAS|33|199||CV|110||0|3.0|Dépendance|0.0|0.0|2022
1|06/01/2022|Vente|610000,00|15.0|IMP|0133|DE CAPAYAN|33470.0|GUJAN MESTRAS|33|199||CV|110||0|1.0|Maison|133.0|6.0|2022
1|06/01/2022|Vente|196300,00|3.0|AV|0250|DE L EGLISE|33470.0|GUJAN MESTRAS|33|199||BO|251|12.0|2|3.0|Dépendance|0.0|0.0|2022
1|06/01/2022|Vente|196300,00|3.0|AV|0250|DE L EGLISE|33470.0|GUJAN MESTRAS|33|199||BO|251|12.0|2|2.0|Appartement|46.0|2.0|2022
1|07/01/2022|Vente|420000,00|22.0|AV|0138|DE CESAREE|33470.0|GUJAN MESTRAS|33|199||BZ|185||0|1.0|Maison|72.0|4.0|2022
1|07/01/2022|Vente|420000,00|22.0|AV|0138|DE CESAREE|33470.0|GUJAN MESTRAS|33|199||BZ|185||0|3.0|Dépendance|0.0|0.0|2022
1|07/01/2022|Vente|420000,00|22.0|AV|0138|DE CESAREE|33470.0|GUJAN MESTRAS|33|199||BZ|185||0|3.0|Dépendance|0.0|0.0|2022
1|13/01/2022|Vente|178937,00|9001.0|ALL|0785|RAPHAEL|33470.0|GUJAN MESTRAS|33|199||CS|297|156.0|3|3.0|Dépendance|0.0|0.0|2022
1|13/01/2022|Vente|178937,00|9001.0|ALL|0785|RAPHAEL|33470.0|GUJAN MESTRAS|33|199||CS|297|156.0|3|3.0|Dépendance|0.0|0.0|2022
1|13/01/2022|Vente|178937,00|9001.0|ALL|0785|RAPHAEL|33470.0|GUJAN MESTRAS|33|199||CS|297|156.0|3|2.0|Appartement|41.0|2.0|2022
1|11/01/2022|Vente|253000,00|142.0|LOT|A045|VILLAGE DES PINS|33470.0|GUJAN MESTRAS|33|199||DC|178||0|1.0|Maison|37.0|4.0|2022
1|12/01/2022|Vente|460000,00|13.0|ALL|0189|PAUL CORTHIER|33470.0|GUJAN MESTRAS|33|199||DC|431||0|1.0|Maison|100.0|4.0|2022
1|06/01/2022|Vente|160000,00|29.0|RUE|0150|DU CHATEAU|33470.0|GUJAN MESTRAS|33|199||BP|257|28.0|1|3.0|Dépendance|0.0|0.0|2022
1|06/01/2022|Vente|160000,00|29.0|RUE|0150|DU CHATEAU|33470.0|GUJAN MESTRAS|33|199||BP|257|24.0|1|2.0|Appartement|42.0|2.0|2022
1|06/01/2022|Vente|160000,00|29.0|RUE|0150|DU CHATEAU|33470.0|GUJAN MESTRAS|33|199||BP|257|27.0|1|3.0|Dépendance|0.0|0.0|2022
1|17/01/2022|Vente|14000,00|2.0|RUE|0110|CAMILLE DIGNAC|33470.0|GUJAN MESTRAS|33|199||CA|380|23.0|1|3.0|Dépendance|0.0|0.0|2022
1|14/01/2022|Vente|42000,00|4.0|ALL|0240|DU DOMAINE|33470.0|GUJAN MESTRAS|33|199||BV|90||0|2.0|Appartement|74.0|4.0|2022
1|14/01/2022|Vente|42000,00|4.0|ALL|0240|DU DOMAINE|33470.0|GUJAN MESTRAS|33|199||BV|90||0|2.0|Appartement|74.0|2.0|2022
1|14/01/2022|Vente|42000,00|4.0|ALL|0240|DU DOMAINE|33470.0|GUJAN MESTRAS|33|199||BV|90||0|3.0|Dépendance|0.0|0.0|2022
1|03/01/2022|Vente|385000,00|8.0|ALL|0735|DE LA PLAINE|33470.0|GUJAN MESTRAS|33|199||BP|316||0|1.0|Maison|92.0|3.0|2022
