No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|1er lot|Nombre de lots|Code type local|Type local|Surface reelle bati|Nombre pieces principales|year
1|22/07/2022|Vente en l'état futur d'achèvement|843000,00||||||NOGENT SUR MARNE|94|52||AE|6|107.0|1|||||2022
1|22/07/2022|Vente en l'état futur d'achèvement|843000,00||||||NOGENT SUR MARNE|94|52||AE|6|111.0|1|||||2022
1|06/07/2022|Vente en l'état futur d'achèvement|602500,00||||||NOGENT SUR MARNE|94|52||AE|6|108.0|1|||||2022
1|06/07/2022|Vente en l'état futur d'achèvement|602500,00||||||NOGENT SUR MARNE|94|52||AE|6|116.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|74.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|75.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|76.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|77.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|82.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|83.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|86.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|87.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|88.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|89.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|90.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|91.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|92.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|93.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|84.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|65.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|81.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|64.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|63.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|36.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|80.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|69.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|35.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|34.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|70.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|71.0|1|||||2022
1|26/07/2022|Vente en l'état futur d'achèvement|50762216,00||||||NOGENT SUR MARNE|94|52||H|167|72.0|1|||||2022
