1er lot;Code commune;Code departement;Code postal;Code type local;Code voie;Commune;Date mutation;Nature mutation;No disposition;No plan;No voie;Nombre de lots;Nombre pieces principales;Prefixe de section;Section;Surface reelle bati;Type de voie;Type local;Valeur fonciere;Voie;Annee
;199;33;33470;2;0242;GUJAN MESTRAS;05/01/2021;Vente;1;184;26;0;2;;BN;20;RUE;Appartement;580000;EDMOND DAUBRIC;2021
;199;33;33470;4;0242;GUJAN MESTRAS;05/01/2021;Vente;1;184;26;0;0;;BN;140;RUE;Local industriel. commercial ou assimilé;580000;EDMOND DAUBRIC;2021
;199;33;33470;2;0242;GUJAN MESTRAS;05/01/2021;Vente;1;184;26;0;2;;BN;25;RUE;Appartement;580000;EDMOND DAUBRIC;2021
;199;33;33470;2;0242;GUJAN MESTRAS;05/01/2021;Vente;1;184;26;0;2;;BN;60;RUE;Appartement;580000;EDMOND DAUBRIC;2021
;199;33;33470;1;0100;GUJAN MESTRAS;07/01/2021;Vente;1;419;6;0;5;;BT;150;ALL;Maison;728600;DES BRUYERES;2021
;527;33;33470;;0067;LE TEICH;06/01/2021;Vente;1;95;31;0;;;CO;;RUE;;328230;ANDERS CELSIUS;2021
;199;33;33470;4;0790;GUJAN MESTRAS;14/01/2021;Vente;1;324;30;0;0;;CA;95;CRS;Local industriel. commercial ou assimilé;320000;DE LA REPUBLIQUE;2021
23;199;33;33470;1;0460;GUJAN MESTRAS;04/01/2021;Vente;1;463;6;1;2;;BM;33;RUE;Maison;154880;DE LA LIBERTE;2021
;199;33;33470;1;0490;GUJAN MESTRAS;08/01/2021;Vente;1;166;8;0;4;;BO;65;RUE;Maison;304250;DU MARECHAL FOCH;2021
;199;33;33470;1;0660;GUJAN MESTRAS;07/01/2021;Vente;1;654;51;0;4;;BS;83;ALL;Maison;362650;DE LA PELOUSE;2021
;199;33;33470;;A045;GUJAN MESTRAS;14/01/2021;Vente;1;117;8;0;;;DC;;LOT;;136000;VILLAGE DES PINS;2021
;199;33;33470;;B135;GUJAN MESTRAS;11/01/2021;Vente;1;100;;0;;;BX;;;;480100;MESTEY;2021
;199;33;33470;1;0042;GUJAN MESTRAS;11/01/2021;Vente;1;311;9;0;5;;BX;120;ALL;Maison;480100;DU BARAIL;2021
;199;33;33470;1;0166;GUJAN MESTRAS;15/01/2021;Vente;1;259;3;0;6;;DK;102;ALL;Maison;350000;CHARLES PERRAULT;2021
;199;33;33470;;0520;GUJAN MESTRAS;15/01/2021;Vente;2;761;119;0;;;CB;;CRS;;230000;DE LA MARNE;2021
;199;33;33470;1;0675;GUJAN MESTRAS;05/01/2021;Vente;1;58;108;0;5;;BC;163;AV;Maison;662370;PIERRE DIGNAC;2021
;199;33;33470;;0675;GUJAN MESTRAS;05/01/2021;Vente;1;59;108;0;;;BC;;AV;;662370;PIERRE DIGNAC;2021
;527;33;33470;;B129;LE TEICH;08/01/2021;Vente;1;21;;0;;;CB;;;;10150;PAYON-EST;2021
;199;33;33470;;A092;GUJAN MESTRAS;08/01/2021;Vente;1;264;;0;;;CK;;LOT;;246500;LA GIROLLE;2021
;199;33;33470;;A092;GUJAN MESTRAS;08/01/2021;Vente;1;265;;0;;;CK;;LOT;;246500;LA GIROLLE;2021
;527;33;33470;;B103;LE TEICH;08/01/2021;Vente;2;146;;0;;;CP;;;;170000;LANDE DE LA BERLE DU TCHAN;2021
46;527;33;33470;1;0454;LE TEICH;12/01/2021;Vente;1;96;9001;1;4;;BG;84;RUE;Maison;280000;DES TILLEULS;2021
22;199;33;33470;2;0512;GUJAN MESTRAS;19/01/2021;Vente;1;161;38;1;2;;BT;23;AV;Appartement;98000;MAL DE LATTRE DE TASSIGNY;2021
;199;33;33470;;B029;GUJAN MESTRAS;08/01/2021;Vente;1;410;;0;;;CT;;;;310000;CAMPES;2021
2;199;33;33470;2;0186;GUJAN MESTRAS;21/01/2021;Vente;1;233;46;1;1;;BL;27;BD;Appartement;80000;DE LA COTE D ARGENT;2021
12;199;33;33470;3;0186;GUJAN MESTRAS;21/01/2021;Vente;1;233;46;1;0;;BL;0;BD;Dépendance;80000;DE LA COTE D ARGENT;2021
;527;33;33470;1;0057;LE TEICH;13/01/2021;Vente;1;98;9010;0;4;;BL;107;ALL;Maison;389800;DE CHIQUOY;2021
406;199;33;33470;2;0110;GUJAN MESTRAS;15/01/2021;Vente;1;380;2;1;2;;CA;34;RUE;Appartement;106000;CAMILLE DIGNAC;2021
438;199;33;33470;3;0110;GUJAN MESTRAS;15/01/2021;Vente;1;380;2;1;0;;CA;0;RUE;Dépendance;106000;CAMILLE DIGNAC;2021
126;199;33;33470;3;0194;GUJAN MESTRAS;05/01/2021;Vente;1;418;51;1;0;;CR;0;ALL;Dépendance;134100;CLAUDE DEBUSSY;2021
113;199;33;33470;2;0194;GUJAN MESTRAS;05/01/2021;Vente;1;418;51;1;2;;CR;43;ALL;Appartement;134100;CLAUDE DEBUSSY;2021
;199;33;33470;;0830;GUJAN MESTRAS;11/01/2021;Vente;1;162;;0;;;BM;;RUE;;406800;DU THEATRE;2021
;199;33;33470;1;0830;GUJAN MESTRAS;11/01/2021;Vente;1;163;10;0;4;;BM;100;RUE;Maison;406800;DU THEATRE;2021
;199;33;33470;;0015;GUJAN MESTRAS;11/01/2021;Vente;1;460;21;0;;;BV;;ALL;;450000;ALPHONSE DAUDET;2021
;199;33;33470;;0015;GUJAN MESTRAS;11/01/2021;Vente;1;461;21;0;;;BV;;ALL;;450000;ALPHONSE DAUDET;2021
;199;33;33470;;B091;GUJAN MESTRAS;11/01/2021;Vente;1;462;;0;;;BV;;;;450000;LE HUGUEYRA;2021
23;199;33;33470;2;0840;GUJAN MESTRAS;22/01/2021;Vente;1;185;66;3;2;;BO;44;CRS;Appartement;155500;DE VERDUN;2021
;199;33;33470;4;0238;GUJAN MESTRAS;20/01/2021;Vente;1;85;6;0;0;;DO;481;ALL;Local industriel. commercial ou assimilé;940000;DES DUNES;2021
;199;33;33470;4;0238;GUJAN MESTRAS;20/01/2021;Vente;1;85;6;0;0;;DO;80;ALL;Local industriel. commercial ou assimilé;940000;DES DUNES;2021
;199;33;33470;4;0238;GUJAN MESTRAS;20/01/2021;Vente;1;85;6;0;0;;DO;70;ALL;Local industriel. commercial ou assimilé;940000;DES DUNES;2021
72;199;33;33470;;0840;GUJAN MESTRAS;19/01/2021;Vente en l'état futur d'achèvement;1;767;;1;;;BY;;CRS;;231310;DE VERDUN;2021
28;199;33;33470;;0840;GUJAN MESTRAS;19/01/2021;Vente en l'état futur d'achèvement;1;767;;1;;;BY;;CRS;;231310;DE VERDUN;2021
66;199;33;33470;;0840;GUJAN MESTRAS;19/01/2021;Vente en l'état futur d'achèvement;1;767;;1;;;BY;;CRS;;231310;DE VERDUN;2021
;199;33;33470;;0415;GUJAN MESTRAS;18/01/2021;Vente;1;566;;0;;;BM;;RUE;;455300;JULES BARAT;2021
;199;33;33470;1;0415;GUJAN MESTRAS;18/01/2021;Vente;1;568;12;0;5;;BM;105;RUE;Maison;455300;JULES BARAT;2021
;527;33;33470;1;0272;LE TEICH;13/01/2021;Vente;1;302;9;0;6;;BP;183;RUE;Maison;711000;DES PALMIERS;2021
;527;33;33470;;B085;LE TEICH;13/01/2021;Vente;1;305;;0;;;BP;;;;711000;HOUDIN;2021
;199;33;33470;;0710;GUJAN MESTRAS;19/01/2021;Vente;1;512;3;0;;;BZ;;ALL;;465000;DU PLACOT;2021
;527;33;33470;;0044;LE TEICH;26/01/2021;Vente;1;231;112;0;;;BV;;AV;;220000;DE CAMPS;2021
;199;33;33470;1;0270;GUJAN MESTRAS;26/01/2021;Vente;1;559;45;0;5;;CA;148;ALL;Maison;692500;DU FIN;2021
;527;33;33470;1;0456;LE TEICH;11/01/2021;Vente;1;253;4;0;4;;BN;94;RUE;Maison;347000;EDOUARD BEYNEL;2021
